Frame_Number,Time,TouchLeft,TouchRight,Box_FencerID1,Box_FencerID2,SkeletonID1,SkeletonID2
245,2.0437083333333335,1,0,"1056,801,1378,1357","510,809,819,1377","1212,872;1201,926;1125,970;1054,995;1274,1065;1263,1176;1258,1304;1294,913;1349,972;1381,1009;1333,1057;1312,1177;1297,1304","645,883;603,942;608,1023;538,1031;622,1114;577,1218;623,1339;707,939;741,1019;643,1033;692,1110;642,1239;768,1334"
246,2.05205,1,0,"1048,796,1380,1356","495,804,809,1379","1215,874;1205,927;1123,971;1050,996;1281,1065;1263,1177;1253,1311;1300,911;1350,967;1385,1009;1337,1057;1319,1179;1309,1307","633,865;594,929;599,1023;529,1041;604,1104;555,1221;600,1347;695,926;726,1020;626,1069;674,1102;644,1239;762,1345"
247,2.060391666666667,1,0,"1042,795,1381,1356","478,802,796,1378","1214,877;1203,928;1116,967;1042,995;1283,1065;1266,1177;1251,1310;1297,912;1347,964;1384,1005;1336,1055;1317,1177;1308,1305","635,865;599,925;596,1017;537,1038;605,1107;562,1226;591,1342;683,930;705,1021;621,1057;661,1108;635,1239;752,1336"
248,2.0687333333333333,1,0,"1039,795,1383,1355","460,807,782,1384","1206,878;1200,929;1112,968;1036,995;1287,1066;1267,1176;1253,1311;1290,912;1345,961;1383,999;1338,1056;1316,1177;1307,1306","608,876;575,925;592,1000;536,1024;594,1099;529,1224;547,1353;658,932;685,991;616,999;650,1095;632,1239;762,1348"
249,2.0770750000000002,1,0,"1035,798,1383,1355","441,808,771,1390","1204,878;1198,929;1113,968;1038,994;1286,1064;1266,1172;1257,1309;1289,911;1343,958;1385,993;1337,1054;1317,1174;1311,1304","612,885;581,929;589,997;527,1027;588,1100;515,1227;507,1355;653,937;666,996;573,1000;632,1096;614,1232;750,1345"
250,2.0854166666666667,1,0,"1030,799,1383,1355","429,808,764,1392","1199,883;1196,933;1107,970;1030,998;1289,1065;1268,1172;1259,1308;1286,914;1342,957;1386,994;1339,1053;1319,1172;1314,1302","605,881;571,929;578,1000;522,1036;575,1100;504,1221;488,1347;643,936;656,998;576,1009;619,1096;611,1231;748,1336"
251,2.093758333333333,1,0,"1028,801,1386,1356","412,806,754,1389","1197,883;1193,933;1103,971;1026,1003;1289,1065;1270,1172;1259,1309;1285,913;1343,957;1392,998;1339,1053;1319,1173;1312,1303","588,882;563,927;576,996;525,1033;567,1092;498,1220;481,1357;617,926;630,988;545,1001;600,1082;589,1226;716,1353"
252,2.1021,1,0,"1026,801,1389,1356","397,805,746,1391","1196,883;1192,934;1105,973;1028,1002;1286,1068;1268,1175;1260,1311;1285,915;1344,960;1394,998;1338,1057;1318,1177;1310,1306","582,870;564,921;569,1005;509,1052;562,1090;495,1224;482,1359;609,919;612,996;495,1033;590,1083;563,1228;683,1356"
253,2.1104416666666665,1,0,"1023,798,1392,1356","378,804,738,1395","1195,885;1193,935;1104,974;1026,1004;1288,1069;1269,1174;1259,1309;1283,916;1343,962;1393,1001;1339,1057;1317,1175;1307,1305","567,867;552,920;555,1005;495,1052;553,1092;490,1226;479,1361;592,917;596,997;483,1033;577,1085;543,1232;661,1358"
254,2.1187833333333335,1,0,"1022,797,1394,1356","364,802,732,1397","1195,885;1194,937;1105,978;1025,1009;1287,1069;1268,1174;1259,1308;1284,918;1345,967;1396,1012;1341,1059;1322,1176;1311,1305","549,869;541,924;541,1016;478,1062;545,1099;501,1234;512,1364;575,919;580,1002;458,1034;569,1092;511,1238;606,1362"
255,2.127125,1,0,"1021,801,1395,1356","347,801,720,1390","1192,884;1190,936;1102,978;1023,1007;1287,1069;1266,1174;1259,1311;1282,915;1343,962;1394,1000;1340,1058;1318,1176;1307,1306","554,874;549,923;551,1020;482,1062;545,1099;505,1238;527,1360;575,923;571,1008;441,1038;564,1094;501,1236;583,1355"
256,2.135466666666667,1,0,"1021,800,1398,1356","326,801,709,1396","1192,883;1191,936;1104,981;1023,1010;1287,1072;1266,1176;1257,1312;1284,916;1346,965;1398,1006;1342,1061;1322,1179;1309,1307","552,882;537,927;537,1014;476,1062;530,1101;483,1239;481,1357;569,930;561,1009;440,1033;548,1096;494,1235;582,1352"
257,2.1438083333333333,1,0,"1020,802,1399,1356","305,802,698,1404","1194,878;1190,935;1106,986;1026,1016;1278,1074;1262,1177;1255,1312;1288,917;1350,978;1407,1030;1339,1065;1324,1184;1309,1309","536,885;522,928;518,1021;472,1074;517,1100;507,1241;533,1363;546,929;542,1010;438,1038;534,1092;457,1236;507,1357"
